	3000
Afghanistan	135
Algeria	14
Antarctica	7
Antigua and Barbuda	9
Argentina	490
Australia	1067
Austria	5
Azerbaijan	1
Bahamas	108
Belize	10
Bosnia and Herzegovina	1
Botswana	290
Brazil	570
British Guiana	12
Bulgaria	2
Burma	94
Cameroon	9
Canada	1083
Chad	1
Chile	10
China	108
Colombia	18
Commonwealth of the Northern Mariana Islands	1
Cook Islands	3
Costa Rica	870
Cuba	7
Czech Republic	22
Denmark	27
Dominica	5
Ecuador	1706
Egypt	6
El Salvador	43
England	1
Estonia	1
Ethiopia	245
Falkland Islands	8
Fiji	12
Finland	41
France	56
Germany	113
Ghana	5
Greece	8
Greenland	30
Guatemala	433
Guyana	29
Honduras	2
Hungary	14
Iceland	155
India	520
Indonesia	89
Iran	6
Iraq	4
Ireland	22
Israel	49
Italy	11
Jamaica	9
Japan	42
Kenya	75
Kiribati	19
Korea	33
Lesotho	1
Liberia	2
Madagascar	128
Malawi	2
Malaysia	2
Marshall Islands	2
Martinique	16
Mexico	1910
Micronesia	53
Morocco	2
Mozambique	1
Myanmar	54
Namibia	5
Nepal	2
Netherlands	16
New Zealand	127
North Korea	17
Norway	17
Pakistan	8
Panama	20
Papua New Guinea	25
Paraguay	105
Peru	152
Philippines	428
Phillipines	94
Poland	9
Portugal	2
Romania	6
Russia	209
Saint Helena, Ascension and Tristan da Cunha	5
Saint Vincent and the Grenadines	2
Samoa	1
Scotland	2
Senegal	1
Slovakia	1
Solomon Islands	4
Somalia	1
South Africa	306
South Georgia and the South Sandwich Islands	10
South Korea	8
Spain	59
Sri Lanka	68
Sudan	1
Suriname	12
Sweden	15
Switzerland	4
Taiwan	1
Tanzania	2
Thailand	1
Togo	3
Tonga	2
Trinidad and Tobago	69
Tunisia	3
Turkey	5
Turkmenistan	2
U.S. Trust Territory of the Pacific	4
U.S.S.R.	4
Uganda	239
Ukraine	1
United Kingdom	1215
United States	83112
United States Minor Outlying Islands	9
Uzbekistan	3
Vanuatu	1
Venezuela	7
Vietnam	1
West Indies	12
Yemen	1
Zimbabwe	6
